t,Forests and Wooded Land,Open Land,Built-up Areas,Water
0,0.5716089192950129,0.3702074888540692,0.036427308765794385,0.02175628308512351
1,0.5732714442607821,0.3685911894146733,0.03657554924692242,0.02156181707762222
2,0.5750088864589493,0.36684896526550187,0.03676204533608349,0.02138010293946528
3,0.5766714114247186,0.3653203349278483,0.036884782078522825,0.021123471568910306
4,0.5782781469621062,0.36379808052486695,0.037034616543318896,0.020889155969707935
5,0.5798386569731206,0.3623810290439764,0.037109533775716935,0.020670780207185997
6,0.5812286107316544,0.3609815113834344,0.03729443588120996,0.02049544200370123
7,0.5827843387916647,0.35955011404953147,0.03737572904828017,0.02028981811052364
8,0.5840531497914272,0.3582892729681092,0.03758294692512581,0.02007463031533779
9,0.5853410885952063,0.35706987546205604,0.037745533259266224,0.019843502683471504
10,0.5865971477256244,0.3557930945439533,0.037975066907464466,0.019634690822957827
11,0.5877798836073126,0.35468846386199926,0.038094615682567716,0.019437036848120454
12,0.5889578375379966,0.35358064521270915,0.03824285616369575,0.019218661085598516
13,0.5901341974850126,0.3524680446124149,0.03839747257949595,0.019000285323076578
14,0.591324903285041,0.3513267523060959,0.038547307044292024,0.01880103736457116
15,0.5923482407999248,0.350301820807544,0.038757712888473746,0.018592225504057487
16,0.5933954880698292,0.349345430606718,0.03887566767990895,0.01838341364354381
17,0.594487366882439,0.34830615325515374,0.039038254014049374,0.018168225848357956
18,0.5955744637440444,0.34728122175660187,0.039188088478845445,0.017956226020508195
19,0.596551575732555,0.3463072977354274,0.03935226879665391,0.017788857735363643
20,0.5975605673944264,0.345336561681589,0.03948297545743346,0.01761989546655105
21,0.5985663710889618,0.3443387279053939,0.03969178731794714,0.017403113687697157
22,0.5995578289304848,0.3433536459985431,0.039857561619423644,0.017230963451548474
23,0.6004966853109623,0.3424450753077584,0.03998667429653516,0.017071565084744143
24,0.6012841132429757,0.34153491063330566,0.040256057536434485,0.016924918587284156
25,0.6022102177541089,0.34060083620383225,0.040428207772583165,0.016760738269475692
26,0.6032064575466359,0.33962372421532167,0.0405621024006988,0.01660771583734353
27,0.6040815545803918,0.33868486783484414,0.04075975637553618,0.01647382120922789
28,0.6048769524307454,0.3378910639681586,0.04092712466068073,0.016304858940415296
29,0.6056787262157712,0.3371020420524771,0.04105783132146028,0.016161400410291397
30,0.6065681691025394,0.3361855014433522,0.04124273342695331,0.016003596027155106
31,0.6074337022342869,0.335296058556584,0.04144357536912677,0.015826663840002295
32,0.6082418519539848,0.33445762314719324,0.041641229343964144,0.015659295554857743
33,0.609057971592023,0.33362078172147047,0.041813379580112824,0.015507867106393628
34,0.6098868430994056,0.33283335378945705,0.041907424616527376,0.015372378494609944
35,0.6106487672927303,0.33207461756346845,0.04203653729363889,0.015240077850162348
36,0.6115461800978387,0.33111982134631046,0.04223100330114018,0.01510299525471062
37,0.6123798335562254,0.33024631829622275,0.042412717439297115,0.014961130708254763
38,0.6132182689656162,0.32943816857652475,0.04251154442671581,0.014832018031143254
39,0.6140375765709905,0.3285423497550844,0.04272992018923774,0.014690153484687395
40,0.6148026887316512,0.3277405759700586,0.0429084463600586,0.014548288938231539
41,0.615601274549341,0.326870260887307,0.043109288302232054,0.014419176261120029
42,0.6164524618280761,0.3260222615759079,0.04323840097934357,0.014286875616672431
43,0.6171522206583472,0.32527308925192755,0.043408957231824204,0.014165732857901138
44,0.6179348666393564,0.3244219019731924,0.04359864128832136,0.014044590099129844
45,0.6186489713226399,0.3235770906291294,0.04384570875686808,0.01392822929136268
46,0.6193822038099398,0.32277212887676754,0.04403220484602915,0.01381346246726356
47,0.6201154362972398,0.3219241295653685,0.04423782873920674,0.01372260539818509
48,0.6208183830948468,0.32108569415597765,0.04447533230574519,0.013620590443430317
49,0.6215261118434581,0.32033173988099317,0.04463154270521344,0.013510605570335326
50,0.6222864420531147,0.3195602517856602,0.044757467414988865,0.013395838746236207
