iteration,seed,Forests and Wooded Land,Open Land,Built-up Areas,Water
0,127731606602957775792738959244254602547,0.5968177710051182,0.32467375139274324,0.05675378850068302,0.021754689101455466
1,14897038205688031568915142214346553553,0.5976578003981772,0.32380662427732765,0.0567824802067078,0.021753095117787422
2,276058848364976075213534910585422918561,0.5954294112302525,0.3258676451601077,0.056953036459188436,0.021749907150451338
3,136354627113193509844065240505796453212,0.5964655006144807,0.3247646084618217,0.05701838978957822,0.02175150113411938
4,165854332145589208416174894963473087852,0.5955346141523434,0.3257401264666642,0.056973758246873,0.02175150113411938
