t,Forests and Wooded Land,Open Land,Built-up Areas,Water
0,0.5716089192950129,0.3702074888540692,0.036427308765794385,0.02175628308512351
1,0.5731407376000025,0.3683297760931141,0.03677320322175979,0.02175628308512351
2,0.5742389923472844,0.3669047546938834,0.03710315784104476,0.021753095117787422
3,0.5752224802704672,0.3655578384943868,0.037468180101026684,0.02175150113411938
4,0.5759939683658001,0.3644229221227399,0.037831608377340564,0.02175150113411938
5,0.5768547195465435,0.3632258403880394,0.03816793893129771,0.02175150113411938
6,0.5775560723604826,0.3621499014121101,0.03854252509328789,0.02175150113411938
7,0.5780980268076173,0.36120785706429653,0.03894261499396677,0.02175150113411938
8,0.5787690939318636,0.36018292556574466,0.039296479368272394,0.02175150113411938
9,0.579260040901621,0.35931579845032907,0.03967265951393062,0.02175150113411938
10,0.5798545968098011,0.3583370924781505,0.040056809577929064,0.02175150113411938
11,0.5803726415019151,0.35740461203234514,0.04047124533162033,0.02175150113411938
12,0.5809608214754232,0.35638605646846544,0.04090162092199203,0.02175150113411938
13,0.5814900240532136,0.35546632789200444,0.04129214692066265,0.02175150113411938
14,0.5821738430468042,0.3543919828997432,0.041682672919333266,0.02175150113411938
15,0.5826584140818893,0.3534802242416224,0.042109860542368885,0.02175150113411938
16,0.5831796467413395,0.3526003452568625,0.04246850686767863,0.02175150113411938
17,0.5835861125766906,0.3517810376514882,0.042881348637701856,0.02175150113411938
18,0.5841583527135181,0.350816677532322,0.04327346862004052,0.02175150113411938
19,0.5846843673239724,0.3498794151355125,0.0436847164063957,0.02175150113411938
20,0.5852566074608,0.3489086790816741,0.044083212323406534,0.02175150113411938
21,0.5857937799569306,0.34798735652154505,0.04446736238740498,0.02175150113411938
22,0.5862337194493106,0.34715051509582234,0.04486426432074777,0.02175150113411938
23,0.5867119145497235,0.34628816993141087,0.045248414384746215,0.02175150113411938
24,0.5871805457481283,0.3454433585873479,0.04562459453040444,0.02175150113411938
25,0.5875646958121267,0.3446782464266871,0.0460055566270668,0.02175150113411938
26,0.5879855075004902,0.34383821703362827,0.046424774331762196,0.02175150113411938
27,0.5884366048785464,0.3429710899182127,0.04684080406912151,0.02175150113411938
28,0.5888366947792253,0.34214540637816626,0.04726639770848908,0.02175150113411938
29,0.589228814761564,0.34128943714842697,0.04773024695588969,0.02175150113411938
30,0.5896432505152552,0.34049085133073725,0.048114397019888136,0.02175150113411938
31,0.5901278215503404,0.33955677690126385,0.048563900414276356,0.02175150113411938
32,0.5905055956796667,0.33871037157353284,0.0490325316126811,0.02175150113411938
33,0.5907829488379062,0.33797713908623295,0.049488410941741494,0.02175150113411938
34,0.5911639109345685,0.3371642074155308,0.04992038051578124,0.02175150113411938
35,0.5914763317335051,0.33642300500989064,0.05034916212248489,0.02175150113411938
36,0.5918015044017859,0.33568020862058245,0.05076678584351225,0.02175150113411938
37,0.592097985364042,0.33489596865590515,0.05125454484593351,0.02175150113411938
38,0.5923769325059496,0.33417070608694543,0.05170086027298564,0.02175150113411938
39,0.5927355788312593,0.3333211127918783,0.05219180724274299,0.02175150113411938
40,0.5931388566992742,0.3324396398234504,0.05267000234315599,0.02175150113411938
41,0.5934512774982108,0.33166815172811737,0.053129069639552474,0.02175150113411938
42,0.5937668862644834,0.330880723796104,0.053600888805293304,0.02175150113411938
43,0.5941335025081333,0.3301203935864473,0.053994602771300006,0.02175150113411938
44,0.59460053972287,0.32919110110797806,0.05445685803503257,0.02175150113411938
45,0.5948922387341219,0.3284371468329936,0.05491911329876514,0.02175150113411938
46,0.5951600279903532,0.32765609483565233,0.055432376039875095,0.02175150113411938
47,0.5953847796875473,0.32692923828302456,0.055934480895308746,0.02175150113411938
48,0.5956493809764425,0.32620397571406484,0.056395142175373274,0.02175150113411938
49,0.5958677567389644,0.32553450257348665,0.05684623955342954,0.02175150113411938
50,0.5961514858318762,0.32479170618417846,0.057305306849826015,0.02175150113411938
